🗓️ วันที่/สถานที่(พินอิน),โซน,สถานที่ (พิกัดจีน/คำอ่าน),รายละเอียด,การเดินทาง (จากโรงแรม),แนะนำ (Must/Try/IF)
22 พ.ย. (เสาร์),Yuzhong (West),Train from Anime (佛图关 - Fótúguān) Exit 1,อุโมงค์ลอดใต้ทางรถไฟ: มุมถ่ายภาพรถไฟสาย 2 วิ่งผ่านต้นไม้เขียวขจี,สถานี 佛图关 - Fótúguān Exit 1 (ถัดจาก Liziba มา 1-2 สถานี),Try (Photo Spot)
22 พ.ย. (เสาร์),Yuzhong (West),Luohan Temple (罗汉寺 - Luóhàn Sì),สถาปัตยกรรม: ถ่ายภาพองค์พระและสถาปัตยกรรมวัดเก่าแก่,Metro Line 1/6 (สถานี Xiaoshizi),Must
22 พ.ย. (เสาร์),Yuzhong (Central)/Nan'an,Huguang Guild Hall (湖广会馆 - Húguăng Huìguăn),สะพาน Dongshuimen (Photo Spot): มุมถ่ายภาพยอดฮิตที่เห็นสะพาน Dongshuimen เป็นฉากหลัง,เดินจาก Luohan Temple,Try (Photo Spot)
22 พ.ย. (เสาร์),Yuzhong (Central),Kuixing Building (魁星楼 - Kuíxīng Lóu) ตึกบนตึก,ตึกบนตึก: ถ่ายภาพตึกที่สร้างต่อเนื่องลงมาตามหน้าผา,MRT Linjiangmen - ทางออก 2 เดินไปตามทางขึ้นไปจะเป็นสถานพยาบาล เดินมาทางขวานิดเดียว จะเจอบันไดเดินขึ้นด้านบน,Try (Photo Spot)
22 พ.ย. (เสาร์),Yuzhong (Central),Yangtze River Cableway (长江索道 - Chángjiāng Suŏdào) (北站 - Běizhàn),วิวแม่น้ำ Yangtze และเมือง 3 มิติจากกระเช้า,เดิน/Didi (ใกล้ Huguang Guild Hall),If
22 พ.ย. (เสาร์),Yuzhong/Jiangbei,Hotpot Dinner (火锅 - Huŏguō) - ร้าน Yiyan Quanjing BBQ pub (一眼重慶·全景烤肉餐酒吧) @ Tushan (涂山),วิวฉงชิ่งพาโนรามา: จุดชมวิวกลางคืนแบบพาโนรามาพร้อมทานปิ้งย่าง (พนักงานพูดจีนเท่านั้น),Didi/MetroMRT จาก Chaotianmen เปลี่ยนสายที่ Shangxinjie ลง Tushan ทางออก 1,Try (Dinner)
22 พ.ย. (เสาร์),Nan'an District,"Nanbin Road (南滨路 - Nánbīn Lù) - ชมโดรนโชว์ ""New Rhyme of Chongqing"" (20:30 น.)",การแสดงโดรนและวิวเมือง: จุดชมวิวที่ดีที่สุดสำหรับโดรนโชว์ (20:30 น.),Didi (ถนน 南滨路 - Nánbīn Lù),Must (Event/Photo)
,,,,,
23 พ.ย. (อาทิตย์),Wulong Day Trip,Wulong Karst National Geology Park (武隆喀斯特旅游区 - Wŭlóng Kāsītè Lǚyóuqū),ธรรมชาติ/มรดกโลก: จุดถ่ายภาพหลุมยุบขนาดใหญ่และอุโมงค์ทางเดิน (Transformer Scene ),รถไฟความเร็วสูง/รถบัส + รถท้องถิ่น,Must (Day Trip)
23 พ.ย. (อาทิตย์),Wulong Day Trip,อุทยานแห่งชาติหลุมฟ้า 3 สะพานสวรรค์ (天生三桥 - Tiānshēng Sānqiáo),ควรเดินทางถึงศูนย์บริการนักท่องเที่ยว (Tourist Center) ก่อน 08:30 น. เพื่อให้มีเวลาเที่ยวชมได้เต็มที่,ประมาณ 95 หยวน (475 บาท) Low season prices,
23 พ.ย. (อาทิตย์),Yuzhong (Central),"คาเฟ่/ช้อปปิ้ง: Popping Cafe (泡泡咖啡馆), Bayi Hao Chi Jie (八一好吃街 - Bāyī Hăochī Jiē)",คาเฟ่ในย่าน Jiefangbei หรือร้านกาแฟแบรนด์ดังอื่นๆ ในศูนย์การค้า,เดินในย่าน Jiefangbei,Try (Cafe/Food)
23 พ.ย. (อาทิตย์),Yuzhong (Central),Jiefangbei Pedestrian Street (解放碑步行街 - Jiěfàngbēi Bùxíng Jiē),อนุสาวรีย์: ถ่ายภาพอนุสาวรีย์และบรรยากาศถนนคนเดินที่คึกคัก,เดิน/Metro,Must (Shopping)
,,,,,
24 พ.ย. (จันทร์),Yuzhong (Central),Shibatidi (十八梯 - Shíbātī) (บันไดหินเก่า),บันไดเก่า: ถ่ายภาพบันไดหินที่เต็มไปด้วยชีวิตชีวาและบ้านเรือนแบบดั้งเดิม มีคาเฟ่ขนาดเล็กเปิดใหม่หลายแห่งตามแนวบันได,Didi/Metro สาย 1 หรือ 2 ลง Jiaochangkou แล้วเดิน,Try (Photo Spot)
24 พ.ย. (จันทร์),Jiangbei (North),Chongqing Jiangbeizui Central Park (重庆江北嘴中央公园),สวนสาธารณะ: พื้นที่สีเขียวใจกลางย่านการเงิน Jiangbei ใจกลางเมืองในช่วงฤดูใบไม้ร่วง,Xiaoshizi ไป Dajuyuan (Grand theater) ทางออก 3,If
24 พ.ย. (จันทร์),Jiangbei (North),ตึกตะเกียบ (Chopsticks Building - 塔子楼),ตึกคู่ Iconic: ถ่ายภาพตึกคู่สูงเสียดฟ้าในย่านการเงิน Jiangbeizui,Xiaoshizi ไป Dajuyuan (Grand theater) ทางออก 3,Must (Photo Spot)
24 พ.ย. (จันทร์),Jiangbei (North),Jiangbeizui Riverbank Park (江北嘴江滩公园),วิว Raffles City/Yuzhong: มุมมองที่สวยงามของตึก Raffles City และคาบสมุทร Yuzhong จากฝั่ง Jiangbei (ฝั่งตรงข้ามหงหยาตง),MRT สาย 1 หรือ 6 ลง Xiaoshizi แล้วเดิน,Must (Photo Spot)
24 พ.ย. (จันทร์),Jiangbei,คาเฟ่: Swimin Cafe (后堡社区店),นั่งคาเฟ่ชิลๆ มองวิวสวยๆ ที่ Swimin Cafe (后堡社区店) จุดชมวิวที่ดีที่สุดของ Xiaohaoli,,Try (Photo Spot)
24 พ.ย. (จันทร์),Yuzhong (Central),Gangyu Square (岗屿广场),Iconic View (Raffles City): มุมถ่ายภาพตึก Raffles City ดีไซน์เหมือนเรือสำราญลอยอยู่บนฟ้า,Xiaoshizi Exit 8,Try (Photo Spot)
24 พ.ย. (จันทร์),Yuzhong (Central),Twin Tower Photo Spot (元通寺小区(渝中)),ตึกคู่ Twin Tower: มุมถ่ายภาพตึกสูงคู่ (แนะนำใช้เลนส์ระยะ 100mm),Xiaoshizi ออก Exit 5B แล้วปักหมุดตรงนี้ 元通寺小区(渝中 เดินประมาณ 10 นาที,Try (Photo Spot)
24 พ.ย. (จันทร์),Yuzhong (Central),Chaotianmen Square (朝天门广场 - Cháotiānmén Guăngchăng) (Raffles City/จุดบรรจบแม่น้ำ) *แถวที่พัก,วิวหัวเรือ: ถ่ายภาพตึก Raffles City และจุดบรรจบแม่น้ำ,Metro Line 1/6 (สถานี Chaotianmen) ใกล้ที่พัก,Try (Photo Spot)
24 พ.ย. (จันทร์),Yuzhong (Central),Xinhaoli (新华里 - Xīnhuálĭ) - มื้อเย็น,ตรอกถ่ายภาพฟีลโบราณ ถนนเก่าหลงเหมินห่าว,Didi/Metro - สาย 6 สถานี Shangxinjie ทางออกที่ 1 เดินประมาณ 10 เมตร แล้วเลี้ยวขวา (ลงบันไดหินข้างสำนักงานตรวจคนเข้าเมือง Xiaohaoli ),Must (Dinner)
24 พ.ย. (จันทร์),Jiangbei,Chongqing La La Land (大剧院站),จุดชมวิวที่ได้รับความนิยมมาก ซึ่งมีลักษณะคล้ายกับฉากในภาพยนตร์ La La Land จริง ๆ โดยจุดเด่นคือวิวสะพานและวิวเมืองที่เปิดกว้าง ใกล้ Xinhaoli และ Longmenhao,Shanjinxie ทางออก2 เดินขึ้นมาที่ Chongqing institute socialism จะถึงจุดชมวิวนี้เลย (Amap: 重庆市南岸区涂山路140号),Try (Photo Spot)
,,,,,
25 พ.ย. (อังคาร),Yubei,Guanyinqiao (观音桥 - Guānyīnqiáo) - แหล่งช้อปปิ้ง,"ถนนคนเดิน/ศิลปะ: ""I'm in Chongqing"" Screen: จอใหญ่ด้านนอกทางออก 7 ของสถานี Guanyinqiao ถ่ายภาพความคึกคักและงานศิลปะในย่านการค้า",Metro Line 3 (สถานี Guanyinqiao),Must (Shopping)
25 พ.ย. (อังคาร),Jiangbei/Shapingba/Yuzhong,คาเฟ่: Manner Coffee (曼纳咖啡 - Mànnà Kāfēi) หรือแบรนด์อื่นๆ,แนะนำให้สำรวจที่ย่านเป่ยคัง Beicang Cultural and Creative Street (北仓文创街区 - Běicāng Wénchuàng Jiēqū) ในย่านนี้ ซึ่งมีคาเฟ่และร้านสวยเก๋ๆ หลายร้าน,เดินในย่าน Guanyinqiao,Try (Cafe)
25 พ.ย. (อังคาร),Yubei,The Ring (ห้างสรรพสินค้า) ห้างที่มีดีไซน์ทันสมัย 光环购物公园,ร้านคาเฟ่ % Arabica Chongqing MixC: คาเฟ่ชื่อดัง มีมุมถ่ายรูปสวยๆ,MRT สาย 5 ลง Chongguang แล้วเดินประมาณ 5 นาที,Must (Shopping)
25 พ.ย. (อังคาร),Yubei,Hong'en Temple Forest Park (弘恩寺森林公园),ศาลาจีน 9 ชั้น (Hong'en Pavilion): ถ่ายภาพศาลาและทัศนียภาพเมือง (คำแนะนำ: มาช่วงเย็นย่ำ-ค่ำ จะเห็นไฟสวยงาม),Didi (แท็กซี่/รถยนต์ส่วนตัว),Must (Photo Spot)
,,,,,
26 พ.ย. (พุธ),เดินทางกลับ,เช็คเอาท์และเดินทางไปสนามบิน → Chongqing Jiangbei International Airport (重庆江北国际机场),,Didi / Airport Express + Metro,-
26 พ.ย. (พุธ),เดินทางกลับ,เดินทางกลับกรุงเทพฯ (เที่ยวบิน FD556),,,
,,,,,
,,,,,
สถานที่(พินอิน),คำอ่านไทย (พินอิน),ค่าเข้าโดยประมาณ (CNY),หมายเหตุ,,
武隆喀斯特旅游区 (天生三桥),อู่หลง คาซึเท่อ ลวื่อโหยวชวือ (เทียนเซิง ซานเฉียว),~95 (ช่วง Low Season พ.ย.),Tiānshēng Sānqiáo - หลุมฟ้า 3 สะพานสวรรค์ (อุทยานแห่งชาติ ระดับ 5A),,
解放碑 (Jiěfàngbēi),เจี่ยฟ่างเปย,ฟรี,อนุสาวรีย์/ถนนคนเดิน,,
洪崖洞 (Hóngyádòng),หงหยาต้ง,ฟรี,วิวกลางคืน/อาหาร,,
鹅岭公园 (Élíng Gōngyuán),เอ่อหลิ่ง กงหยวน,ฟรี,จุดชมวิวพาโนรามา,,
罗汉寺 (Luóhàn Sì),หลัวฮั่น ซื่อ,~10,วัดเก่าแก่,,
湖广会馆 (Húguăng Huìguăn),หูกว่าง ฮุ่ยก่วน,~30 - 40,สมาคมพ่อค้าเก่าแก่,,
观音桥 (Guānyīnqiáo),กวนยินเฉียว,ฟรี,ย่านช้อปปิ้งใหญ่,,
南滨路 (Nánbīn Lù),หนานปิน ลู่,ฟรี,จุดชมโดรนโชว์/วิวกลางคืน,,
新华里 (Xīnhuálĭ),ซินหัวหลี่,ฟรี,ย่านอาหาร/มื้อเย็น,,
长江索道 (Chángjiāng Suŏdào),ฉางเจียง สั่วเต้า,20 (ต่อเที่ยว),กระเช้าข้ามแม่น้ำ,,
磁器口古镇 (Cíqìkŏu Gŭzhèn),ฉือชี่โข่ว กู่เจิ้น,ฟรี,เมืองโบราณ/ของฝาก,,
十八梯 (Shíbātī),สือปาที,ฟรี,ย่านบันไดหินเก่า/ถ่ายภาพ,,
李子坝站 (Lǐzǐbà Zhàn),หลี่จื่อป้า จ้าน,ฟรี,จุดถ่ายภาพรถไฟลอดตึก,,
三峡博物馆 (Sānxiá Bówùguăn),ซานเสีย โป๋อู้ก่วน,ฟรี,พิพิธภัณฑ์,,
